track,id,playlist_id,mode,key,variable,value
Casa Puebla,65Rn5sqpEBVnT6ms0rnEAY,0p8pKNSfrcQ2KlcGucdMqV,1.0,2.0,danceability,0.434
Los Tontos,4DoEHKWh8k6vYDleECQkJx,0p8pKNSfrcQ2KlcGucdMqV,0.0,9.0,danceability,0.798
Gitana,7JHsmp8rSkIHI6uFFQiukR,0p8pKNSfrcQ2KlcGucdMqV,0.0,1.0,danceability,0.71
Es Por Ti,1rR8q4vfEyvMJDSv0dJDfr,0p8pKNSfrcQ2KlcGucdMqV,1.0,1.0,danceability,0.743
Estoy aquí,2VQ36fHtQwEjId0Z4K8ovU,0p8pKNSfrcQ2KlcGucdMqV,1.0,0.0,danceability,0.666
Besos,7MKO7rUZzjw8p87zdZDgqa,0p8pKNSfrcQ2KlcGucdMqV,1.0,10.0,danceability,0.576
PRMVR,78CVgSm8s9pfpwCqvqzEYB,0p8pKNSfrcQ2KlcGucdMqV,1.0,10.0,danceability,0.585
Eco,5hsul6oJHjJ7wbV9lky88A,0p8pKNSfrcQ2KlcGucdMqV,1.0,0.0,danceability,0.594
Recuerdos,4Ep0uJDe3ZkA7IH17LBfvz,0p8pKNSfrcQ2KlcGucdMqV,1.0,4.0,danceability,0.784
Juramento eterno de sal,0tu5F0rmLZYIdUMEvfRXAo,0p8pKNSfrcQ2KlcGucdMqV,1.0,2.0,danceability,0.631
Volar,2Jc4A4kiyba4wkEIkjWxuQ,0p8pKNSfrcQ2KlcGucdMqV,0.0,6.0,danceability,0.584
Entre Tú Y Yo,1KIZwblKdC0v1ndP3CyLr4,3FInOSJaKv5QzLQrd3lCgA,1.0,9.0,danceability,0.827
El Principio de algo,55oRR1s2W1xX2evrUCaOSb,0p8pKNSfrcQ2KlcGucdMqV,1.0,6.0,danceability,0.621
Tu Primera Fila,7ioc8jD1x4NDgx6v49kGiN,0p8pKNSfrcQ2KlcGucdMqV,1.0,7.0,danceability,0.603
La vida moderna (feat. Love of Lesbian),67oh7LlJZOzQiZ7mM2GtRm,0p8pKNSfrcQ2KlcGucdMqV,1.0,9.0,danceability,0.575
Need You Around,0Gjenteadu0CYeJSKKCLuj,00X3SYeYrgAdtgrKt8QzsJ,0.0,4.0,danceability,0.551
Last Time,2k5Jjbe8tOfDAzIKPBne22,00X3SYeYrgAdtgrKt8QzsJ,1.0,5.0,danceability,0.555
Young Souls,7p2RlyF403KmPmZm2TxKl3,00X3SYeYrgAdtgrKt8QzsJ,0.0,8.0,danceability,0.702
Parrot Cay,24CU3VcY0KpF4frH20OY4x,00X3SYeYrgAdtgrKt8QzsJ,1.0,2.0,danceability,0.628
Waikiki - Original Mix,1rDOlWSjn7HnwjEqowZoBj,35oLMiAK4VM2T0ek3PTPIc,0.0,8.0,danceability,0.749
Dance with Me,06mFFhdNhfblY7tHLXFk5T,00X3SYeYrgAdtgrKt8QzsJ,1.0,8.0,danceability,0.795
Runaway - Y.V.E. 48 Remix,0mZrVEhEdgSRpW3yWv5Qar,00X3SYeYrgAdtgrKt8QzsJ,1.0,5.0,danceability,0.622
Klanga - De Hofnar Remix,0i3utbege8Iy3q7Hy86QCF,35oLMiAK4VM2T0ek3PTPIc,1.0,6.0,danceability,0.719
Lost,51tSHIfms86qWQFRiw0Dhh,00X3SYeYrgAdtgrKt8QzsJ,1.0,1.0,danceability,0.615
Walk Away (feat. Jimmy Magardeau),5mp62FN0bi0aiuFMSS7pvw,5U2MYFAcQ3yT7XbHYgGPmb,1.0,11.0,danceability,0.514
Beside Me,0tXgWRU8IFUs3z4AZxUA8G,00X3SYeYrgAdtgrKt8QzsJ,1.0,2.0,danceability,0.604
SUMMERTIME,10Zqii97t3C3n01w93gqAE,00X3SYeYrgAdtgrKt8QzsJ,1.0,10.0,danceability,0.574
Can't You See My Heart,2360PgqadvAXrboT25OOZo,00X3SYeYrgAdtgrKt8QzsJ,1.0,6.0,danceability,0.559
Good Times,5A9G7jUq3rPy6uOBk52wGw,00X3SYeYrgAdtgrKt8QzsJ,1.0,1.0,danceability,0.625
Shots - Broiler Remix,0z8yrlXSjnI29Rv30RssNI,35oLMiAK4VM2T0ek3PTPIc,0.0,11.0,danceability,0.733
As Far as Feelings Go,2kJIiIqbzYVtv2iTpbQts9,35oLMiAK4VM2T0ek3PTPIc,0.0,0.0,danceability,0.679
Alane,2u6Jm2klS4yvAlbSHlxUwI,35oLMiAK4VM2T0ek3PTPIc,1.0,3.0,danceability,0.581
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,00X3SYeYrgAdtgrKt8QzsJ,0.0,0.0,danceability,0.767
Stronger (feat. Kesha),4NctFqJyGAqurHFEUQvWgR,00X3SYeYrgAdtgrKt8QzsJ,1.0,1.0,danceability,0.648
Love You Better,4UuGBDjt8gLXsANZqZxMBz,00X3SYeYrgAdtgrKt8QzsJ,1.0,11.0,danceability,0.733
Your Love (feat. Néha & Bertrand Lacoste),3mG0g9suL6I9EDE6wBmptO,35oLMiAK4VM2T0ek3PTPIc,1.0,6.0,danceability,0.687
