track,id,playlist_id,playlist,mode,key,variable,value
,3360fzHkXtFCGSnTpyBMRA,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.634
,5o1mS67lEoLCeFobGIaNb2,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.658
,5xHFQvcmStd8e53BgXChlD,37i9dQZF1DWSRc3WJklgBs,,1.0,9.0,danceability,0.778
,7mXNYEVh9FW72c12qBaO3p,37i9dQZF1DWSRc3WJklgBs,,1.0,3.0,danceability,0.483
,61ANVXKajwPzB2aKeKEWIP,37i9dQZF1DWSRc3WJklgBs,,1.0,2.0,danceability,0.541
,4deWlPS9a4WH2UmdvsamrB,37i9dQZF1DWSRc3WJklgBs,,0.0,0.0,danceability,0.627
,1lXyxleB814ehGUXzsWNXu,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.579
,7dTd00X8Mc5iErfQQyBA6B,37i9dQZF1DWSRc3WJklgBs,,1.0,5.0,danceability,0.717
,11bD1JtSjlIgKgZG2134DZ,2AjwEGmjc0VEaf25Dbjb1M,,1.0,9.0,danceability,0.563
,5TAlj8WBSEWPdzudunvu0B,37i9dQZF1DWSRc3WJklgBs,,1.0,8.0,danceability,0.636
,3hEPKX4FgfYPhBjSw1Nejq,7ozIozDp260fjNOZy1yzRG,Chillout 2023,0.0,11.0,danceability,0.609
,4R4gOp9ybG85RqbrY7JELc,37i9dQZF1DWSRc3WJklgBs,,0.0,0.0,danceability,0.728
,1IQIzH150iF2R5NaBRyGAG,37i9dQZF1DWSRc3WJklgBs,,1.0,2.0,danceability,0.673
,3Qt4d1IoO5yhQFAUFsTXSK,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.543
,4I8Bk2MvKpZSaNkCJD2U5k,37i9dQZF1DWSRc3WJklgBs,,1.0,4.0,danceability,0.468
,7yfnNGWg10OgBjpGx1G2M7,37i9dQZF1DWSRc3WJklgBs,,1.0,10.0,danceability,0.488
,7gXY6hi9SOoYDkLQwgVSs1,37i9dQZF1DWSRc3WJklgBs,,1.0,7.0,danceability,0.4
,6JqJ2DMu7B2PddAdNAVmYy,37i9dQZF1DWSRc3WJklgBs,,1.0,2.0,danceability,0.67
,2shiTxgdnUwSxvIPil0BZA,37i9dQZF1DWSRc3WJklgBs,,1.0,11.0,danceability,0.441
,1SldN7GTd0ADTjspv96wCl,37i9dQZF1DWSRc3WJklgBs,,0.0,3.0,danceability,0.58
Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,3FInOSJaKv5QzLQrd3lCgA,JP,1.0,11.0,danceability,0.641
,2OfDYA3xkEQ2fILrBlknHD,37i9dQZF1DWSRc3WJklgBs,,1.0,8.0,danceability,0.521
,1Wm5An0CgcaLHkxtPYopfT,37i9dQZF1DWSRc3WJklgBs,,0.0,10.0,danceability,0.561
,5XZXl7asBflC33KL5zaLXW,37i9dQZF1DWSRc3WJklgBs,,0.0,1.0,danceability,0.564
,2ECjeYPCdRNeuCzO0W1UMW,37i9dQZF1DWSRc3WJklgBs,,1.0,0.0,danceability,0.648
,4ZWyj5whGZ3nNLwOtOLrMt,37i9dQZF1DWSRc3WJklgBs,,1.0,1.0,danceability,0.746
