track,id,playlist_id,playlist,top-track,duration_ms,mode,key,variable,value
Pum Pum Pum,3t8hBlXEXGZCgvcVnL0Vi3,5hJEgBdGwr6dWyf4lieSV9,2022,False,221675.0,1.0,9.0,loudness_normalized,0.35265067219461627
La Bachata,5ww2BF9slyYgNOk37BlC4u,5hJEgBdGwr6dWyf4lieSV9,2022,False,162638.0,0.0,7.0,loudness_normalized,0.15044355699173853
City Girl,0Kdf60siHRhc67LwByNT9f,5hJEgBdGwr6dWyf4lieSV9,2022,False,223313.0,1.0,0.0,loudness_normalized,0.18321494985214762
La Canción de los Solteros,6Af6sei41AeyzWowVwugAJ,5hJEgBdGwr6dWyf4lieSV9,2022,False,185247.0,1.0,0.0,loudness_normalized,0.1910800841386458
Tormenta Sideral,7zeD0b8NuFhcXZ6kWLMKRm,5hJEgBdGwr6dWyf4lieSV9,2022,False,219627.0,1.0,5.0,loudness_normalized,0.08865042831448341
Bam Bam,663WdMQv0b7getcBH0Y7xe,5hJEgBdGwr6dWyf4lieSV9,2022,False,179573.0,0.0,2.0,loudness_normalized,0.184617260616407
A Estas Alturas,622OeMCTZclniKaE5mqb87,5hJEgBdGwr6dWyf4lieSV9,2022,False,242075.0,1.0,5.0,loudness_normalized,0.1788860774929122
La Increíble Historia del Hombre Que Podía Volar Pero No Sabía Cómo (voz de Agustina Kesselman),4rZGfdBd1ooggXBwCPzw9p,5hJEgBdGwr6dWyf4lieSV9,2022,False,271424.0,1.0,6.0,loudness_normalized,0.2137914215163247
Serás Feliz,7KHvA647EA9FEWYpSwBdMG,5hJEgBdGwr6dWyf4lieSV9,2022,False,201152.0,0.0,9.0,loudness_normalized,0.13087217632533607
ANTHEM,3lt51IE7AeTc1ceVJ6dV6Y,5hJEgBdGwr6dWyf4lieSV9,2022,False,258952.0,1.0,7.0,loudness_normalized,0.2659512849434503
Menos mal que te conocí,1WBr2tKgTnAb4jXGz1pGYj,5hJEgBdGwr6dWyf4lieSV9,2022,False,223960.0,1.0,6.0,loudness_normalized,0.1655336402158339
Troubled Man,0GM071OWnLj7XbblrwSlo0,5hJEgBdGwr6dWyf4lieSV9,2022,False,155173.0,1.0,6.0,loudness_normalized,0.19958540377404502
