,track,id,playlist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist,top-track
0,Growing Up,0VaOlp5rnOdvU664eQXq5d,5tOffZXVBFTMS7mkKQ3tpX,0.64,0.276,3.0,-10.575,1.0,0.0536,0.772,0.0,0.145,0.375,93.541,243960.0,Indie Folk Chill,False
1,3 Rounds and a Sound,6AYFKOPbmd12rUP5DalRwB,5tOffZXVBFTMS7mkKQ3tpX,0.381,0.288,1.0,-12.323,1.0,0.0337,0.843,0.00226,0.12,0.198,59.343,266960.0,Indie Folk Chill,False
2,The Worth Of The Wait,4ngv7whSPSAwD8ZP3zMHsd,5tOffZXVBFTMS7mkKQ3tpX,0.48,0.618,2.0,-7.335,1.0,0.0501,0.844,8.93e-05,0.325,0.344,82.051,171800.0,Indie Folk Chill,False
3,The Original,2amZYLlA7PTIaGBw6UTb8r,5tOffZXVBFTMS7mkKQ3tpX,0.581,0.252,2.0,-11.649,1.0,0.0313,0.807,4.24e-05,0.106,0.462,76.175,176080.0,Indie Folk Chill,False
4,Paper Aeroplane,5E3jbxmonQ370P93Qdfy5Y,5tOffZXVBFTMS7mkKQ3tpX,0.805,0.416,11.0,-14.383,1.0,0.0982,0.594,0.219,0.106,0.352,104.102,225280.0,Indie Folk Chill,False
5,Only Lonely,2BzYOfztRMaIVKTfYOGQgR,5tOffZXVBFTMS7mkKQ3tpX,0.412,0.276,7.0,-11.711,1.0,0.0296,0.898,0.000372,0.0955,0.214,90.781,217557.0,Indie Folk Chill,False
6,Tomorrow,3Uh6AwVRMECL8VmMmlO4YI,7ztPGEDSTKz4afyj7IPgBv,0.484,0.331,7.0,-12.504,1.0,0.0299,0.776,0.00401,0.209,0.342,164.038,184842.0,Acoustic Pop Hits,False
7,House Of My Soul (You Light The Rooms),7Jd362EXGUF2c2Zk2abVdq,5tOffZXVBFTMS7mkKQ3tpX,0.548,0.624,10.0,-7.444,1.0,0.0383,0.645,0.0086,0.296,0.712,69.446,173280.0,Indie Folk Chill,False
8,Keep On,4Bekc318sVRVNqy2HoXON7,5tOffZXVBFTMS7mkKQ3tpX,0.526,0.573,2.0,-8.83,1.0,0.0265,0.123,0.638,0.0677,0.245,104.046,275396.0,Indie Folk Chill,False
9,Whole Wide World,3e5eR2DBoHD2qR4HN3YmTv,5tOffZXVBFTMS7mkKQ3tpX,0.729,0.447,5.0,-9.038,1.0,0.0387,0.598,0.000279,0.116,0.595,108.837,155240.0,Indie Folk Chill,False
